iter	Passed	Remaining
416	2882	573
417	2886	566
418	2890	558
419	2894	551
420	2898	543
421	2901	536
422	2905	528
423	2910	521
424	2913	514
425	2917	506
426	2921	499
427	2926	492
428	2929	484
429	2933	477
430	2938	470
431	2942	463
432	2946	455
433	2949	448
434	2953	441
435	2958	434
436	2962	427
437	2965	419
438	2969	412
439	2973	405
440	2977	398
441	2981	391
442	2984	384
443	2989	377
444	2993	369
445	2997	362
446	3001	355
447	3005	348
448	3014	342
449	3018	335
450	3022	328
451	3027	321
452	3030	314
453	3034	307
454	3040	300
455	3044	293
456	3047	286
457	3051	279
458	3056	273
459	3060	266
460	3063	259
461	3067	252
462	3073	245
463	3076	238
464	3080	231
465	3085	225
466	3089	218
467	3092	211
468	3096	204
469	3100	197
470	3105	191
471	3108	184
472	3113	177
473	3118	171
474	3122	164
475	3126	157
476	3129	150
477	3134	144
478	3138	137
479	3141	130
480	3145	124
481	3149	117
482	3153	110
483	3157	104
484	3161	97
485	3167	91
486	3172	84
487	3177	78
488	3182	71
489	3187	65
490	3192	58
491	3197	51
492	3201	45
493	3207	38
494	3212	32
495	3217	25
496	3221	19
497	3227	12
498	3231	6
499	3235	0
